,Placa,Modelo,Marca,AnoFabr.,Combustível,Chassi,Cor,Potência,Cilindro,Aquisição,Conservação,Situação,Combustivel,Renavam,Tipo,Motor,Caixa,Local,Loc.Manutenção,Km Atual,Data Compra,Data Venda,Nota de compra,Valor de compra,Nota de venda,Valor de venda,Nº Apólice
1,GMF1396,CAMINHAO TANQUE,VOLKSWAGEN,1995,Diesel,9BWXTACM3SDB90133,BRANCA,134,6,COMPRA,Regular,Ativa,Diesel,650997018,CAR/CAMINHAO TANQUE,,,,,35329,12/11/1995,,0,"79785,2",0,0,
2,GMF1564,PARATI CLI,VOLKSWAGEN,1996,Gasolina,9BWZZZ379TT163437,BRANCA,081 CV-1.6,4,DOACAO TERMO 02/2012,Anti-econômico,Ativa,Gasolina,660911655,PAS/AUTOMOVEL,,,,,233615,11/09/2012,,0,18290,0,0,
3,GMF1641,GOL 1.6 MI,VOLKSWAGEN,1997,Gasolina,9BWZZZ377VP501275,BRANCA,1.6 081 CV,4,DOACAO TERMO 2013000045,Anti-econômico,Ativa,Gasolina,669493210,PAS/AUTOMOVEL,,,,,57315,17/10/2013,,0,"13729,5",0,0,
4,GMF1750,VAN SPRINTER,MERCEDES BENZ,1997,Diesel,8AC690341VA501494,BRANCA,95 CV,4,COMPRA,Anti-econômico,Ativa,Diesel,677009291,PAS/MICROONIBUS,,,,,359394,04/11/1997,,0,"36162,88",0,0,
5,GMF1756,VAN SPRINTER,MERCEDES BENZ,1997,Diesel,8AC690341VA503492,BRANCA,95 CV,4,COMPRA,Regular,Ativa,Diesel,677210230,PAS/MICROONIBUS,,,,,365290,30/05/1997,,0,"36451,1",0,0,
6,GMF2408,CAMINHAO 608 D,MERCEDES BENZ,1986,Diesel,9BM308325GB711137,BRANCA,85 CV,4,COMPRA,Regular,Ativa,Diesel,243122977,CAR/CAMINHAO/C.ABERTA,608D,,,,183347,29/04/1986,,0,"178907,6",0,0,OF7827
7,GMF2414,CAMINHAO  L1314,MERCEDES BENZ,1988,Diesel,9BM345002JB818756,BRANCA,126 CV,6,COMPRA,Regular,Ativa,Diesel,246584947,CAR/CAMINHAO/BASCULANTE,L1314,,,,108568,26/08/1988,,0,"12023966,66",0,0,OF8554
8,GMF2445,ONIBUS 1314,MERCEDES BENZ,1987,Diesel,9BM345050HB757595,BRANCA,130 CV,6,COMPRA,Anti-econômico,Ativa,Diesel,245778446,PAS/ONIBUS,1314,,,,32885,20/08/1987,,0,"1324318,38",0,0,OF7974
9,GMF2581,KOMBI PICK-UP,VOLKSWAGEN,1986,Alcool,9BWZZZ26ZGP014208,BRANCA,60 CV,4,COMPRA,Anti-econômico,Ativa,Alcool,243102364,CAR/CAMION./C.ABERTA,"1,6","1,6",,,79715,29/04/1986,,0,"64808,3",0,0,OF7826
10,GMF2673,MICRO-ONIBUS 708,MERCEDES BENZ,1987,Diesel,9BM308304HB752254,BRANCA,85 CV,4,COMPRA,Anti-econômico,Ativa,Diesel,246330961,CAR/ONIBUS BIBLIOTECA,708,,,,50841,06/11/1987,,0,"604608,18",0,0,OF8436
11,GMF2794,CAMINHAO 608,MERCEDES BENZ,1985,Diesel,30830212661944,BRANCA,85 CV,4,DOACAO,Regular,Ativa,Diesel,239898060,CAR/CAMINHAO/C.ABERTA,608D,,,,255465,27/11/1984,,0,37018287,0,0,OF5916
12,GMF2862,CAMINHAO  L1113,MERCEDES BENZ,1985,Diesel,34404412687488,AMARELA,130 CV,6,COMPRA,Regular,Ativa,Diesel,241999294,CAR/CAMINHAO/C.ABERTA,1113,,,,142050,09/09/1985,,0,119980655,0,0,OF7589
13,GMF3059,STRADA WORKING,FIAT,1999,Gasolina,9BD278072Y2718588,PRETA,76 CV,4,DOACAO,Regular,Ativa,Gasolina,729991733,CAR/CAMION./C.ABERTA,"1,6",,,,272552,09/10/1999,,0,"15135,73",0,0,
14,GMF3118,M. POLO VIAGGIO GV 850,MERCEDES BENZ,2000,Diesel,9BM384073YB215785,AZUL BRANCA AMARELA,211 CV,6,COMPRA,Bom,Ativa,Diesel,734415494,PAS/ONIBUS,,,,,59938,30/03/2000,,0,98850,0,0,
15,GMF3242,PICK-UP COURIER 1.6 L,FORD,2000,Gasolina,9BFNSZPPA1B913049,BRANCA,95 CV,4,COMPRA,Bom,Ativa,Gasolina,749931426,CAR/CAMION./C.ABERTA,"1,6","1,6",,,66961,12/08/2000,,0,"16474,93",0,0,
16,GMF3245,PICK-UP S10 2.2 S,CHEVROLET,2000,Gasolina,9BG124ASOYC440357,BRANCA,113 CV,4,COMPRA,Bom,Ativa,Gasolina,749674199,CAR/CAMION./C.ABERTA,"2,2",,,,187303,15/12/2000,,0,24699,0,0,
17,GMF3249,KOMBI - STANDARD,VOLKSWAGEN,2000,Gasolina,9BWGB07X51P008332,BRANCA,61 CV,4,COMPRA,Bom,Ativa,Gasolina,749932023,MIS/CAMION./C.FECHADA,"1,6","1,6",,,81075,18/12/2000,,0,"19880,89",0,0,
18,GMF3252,KOMBI - STANDARD,VOLKSWAGEN,2001,Gasolina,9BWGB07X11P008263,BRANCA,61 CV,4,COMPRA,Bom,Ativa,Gasolina,749932872,MIS/CAMION./C.FECHADA,"1,6","1,6",,,193323,14/12/2000,16/02/2017,0,"19880,89",0,0,
19,GMF3253,VAN SPRINTER,MERCEDES BENZ,2000,Diesel,8AC6903411A545194,BRANCA,115 CV,4,COMPRA,Bom,Ativa,Diesel,749932805,PAS/MICROONIBUS,,,,,336409,29/11/2000,,0,57970,0,0,
20,GMF3254,PICK-UP S10 2.2 S,CHEVROLET,2000,Gasolina,9BG124AS0YC440416,BRANCA,113 CV,4,COMPRA,Bom,Ativa,Gasolina,749933283,CAR/CAMION./C.ABERTA,"2,2",,,,151157,15/12/2000,,0,24699,0,0,
21,GMF3256,CAMINHAO 710,MERCEDES BENZ,2000,Diesel,9BM688156YB252803,BRANCA,109,4,COMPRA,Bom,Ativa,Diesel,749932546,CAR/CAMINHAO/C.ABERTA,710,,,,109535,28/11/2000,,274174,41922,0,0,
22,GMF3257,PICK-UP S10 2.2 S,CHEVROLET,2000,Gasolina,9BG124ASOYC439993,BRANCA,113 CV,4,COMPRA,Anti-econômico,Ativa,Gasolina,749933704,CAR/CAMION./C.ABERTA,"2,2",,,,118168,15/12/2000,,0,24699,0,0,
23,GMF3259,PICK-UP GM/S10 2.8 S,CHEVROLET,2001,Diesel,9BG124AC01C404825,BRANCA,132 CV,4,COMPRA,Bom,Ativa,Diesel,749934255,CAR/CAMION./C.ABERTA,"2,8",,,,285945,15/12/2000,,0,35795,0,0,
24,GMF3260,GM/CORSA WIND,CHEVROLET,2000,Gasolina,9BGSC68N01C166156,BRANCA,92 CV,4,COMPRA,Anti-econômico,Ativa,Gasolina,749943904,PAS/AUTOMOVEL,"1,6","1,6",,,78656,15/12/2000,,0,19563,0,0,
25,GMF3262,GM/CORSA WIND,CHEVROLET,2000,Gasolina,9BGSC68N01C166607,BRANCA,92 CV,4,COMPRA,Bom,Ativa,Gasolina,749965177,PAS/AUTOMOVEL,"1,6","1,6",,,140234,15/12/2000,,0,19563,0,0,
26,GMF3273,PICK-UP S10 2.2 S,CHEVROLET,2000,Gasolina,9BG124ASOYC440510,BRANCA,113 CV,4,COMPRA,Anti-econômico,Ativa,Gasolina,749975911,CAR/CAMION./C.ABERTA,"2,2",,,,139103,15/12/2000,,0,24699,0,0,
27,GMF3276,GM/CORSA WIND,CHEVROLET,2000,Gasolina,9BGSC68N01C166619,BRANCA,92 CV,4,COMPRA,Anti-econômico,Ativa,Gasolina,749977515,PAS/AUTOMOVEL,"1,6","1,6",,,297860,15/12/2000,16/02/2017,0,19563,0,0,
28,GMF3299,MICRO ONIBUS 8-140,VOLKSWAGEN,2000,Diesel,9BWV2RF66YRY14392,BRANCA,135 CV,4,COMPRA,Anti-econômico,Ativa,Diesel,751123897,PAS/ONIBUS,,,,,240367,16/01/2001,,0,"73756,18",0,0,
29,GMF3302,RODOVIARIO VW,VOLKSWAGEN,2000,Diesel,9BWY2TJBX1RY14514,BRANCA,206 CV,6,COMPRA,Bom,Ativa,Diesel,751047970,PAS/ONIBUS,"3,25",,,,332773,01/11/2001,,0,"109227,79",0,0,
30,GMF3303,MICRO ONIBUS 8-140,VOLKSWAGEN,2000,Diesel,9BWV2RF67YRY13848,BRANCA,135 CV,4,COMPRA,Bom,Ativa,Diesel,751052795,PAS/ONIBUS,,,,,311085,01/11/2001,,0,"73756,18",0,0,
31,GMF3314,KOMBI - STANDARD,VOLKSWAGEN,2001,Gasolina,9BWGB07X11P008215,BRANCA,61 CV,4,COMPRA,Anti-econômico,Ativa,Gasolina,752542907,MIS/CAMION./C.FECHADA,"1,6","1,6",,,158057,18/01/2001,,0,"19880,89",0,0,
32,GMF3523,REBOQUE,REBOQUE,1986,Outros,MBLS0002271REM,CINZA,,,DOACAO,Regular,Ativa,Outros,244994633,CAR/REBOQUE/C.ABERTA,,,,,0,20/09/1986,,0,400,0,0,
33,GMF3526,HILUX 4 CDL SR,TOYOTA,2001,Diesel,8AJ33LNL529400599,BRANCA,89 CV,3,COMPRA,Anti-econômico,Ativa,Diesel,769185649,MIS/CAMINHONETE/CABINE DUPLA,,,,,376722,10/11/2001,,0,55176,0,0,
34,GMF3554,GM/S10 2.8 D CABINE DUPLA,CHEVROLET,2001,Diesel,9BG138DC01C439840,PRATA,132CV,4,DOACAO PROC.25381000273/2011-17,Ótimo,Ativa,Diesel,770846815,MIS/CAMINHONETE/CABINE DUPLA,,,,,301415,24/01/2012,,0,62063,0,0,
35,GMF4073,ASTRA,CHEVROLET,2002,Gasolina,9BGTT69B02B208307,PRETA,116 CV,4,DOACAO TERMO 010/2015,Anti-econômico,Ativa,Gasolina,787964425,PAS/AUTOMOVEL,,,,,115460,05/04/2016,,0,"14990,9",0,0,
36,GMF4307,PALIO WK ADVENTURE,FIAT,2003,Gasolina,9BD17309934090063,BRANCA,103 CV,4,COMPRA,Bom,Ativa,Gasolina,804727821,PAS/AUTOMOVEL,"1,8","1,8",,,379240,05/12/2003,,717828,"34279,99",0,0,
37,GMF4316,REBOQUE,REBOQUE,2003,Outros,9A9CG05113BDJ4063,VERDE,,,DOACAO-CONTRATO-03010-D,Bom,Ativa,Outros,806694602,CAR/REBOQUE/C.ABERTA,,,,,0,30/06/2003,,0,1150,0,0,
38,GMF4322,REBOQUE,REBOQUE,1983,Outros,UFMG3611183REM,,,,COMPRA,Regular,Ativa,Outros,239907477,CAR/REBOQUE/C.ABERTA,,,,,0,08/05/2003,08/05/2003,0,"0,01",0,0,OF4817
39,GMF4334,CORSA CLASSIC,G. MOTORS,2003,Gasolina,9BGSB19N04B106586,BRANCA,,4,COMPRA,Anti-econômico,Ativa,Gasolina,812882334,PAS/AUTOMOVEL,"1,6","1,6",,,144550,15/09/2003,,11891,18775,0,0,
40,GMF4336,CAMINHAO DAILY 6012 CC1,IVECO,2003,Diesel,93ZC5980138310840,BRANCA,122CV,4,COMPRA,Bom,Ativa,Diesel,813163773,CAR/CAMINHAO/C.ABERTA,"2,8","2,8",,,63083,17/09/2003,,8106,54740,0,0,
41,GMF4338,PALIO WK ADVENTURE,FIAT,2003,Gasolina,9BD17309944093531,BRANCA,103CV,4,COMPRA,Bom,Ativa,Gasolina,813341124,PAS/AUTOMOVEL,"1,8","1,8",,,255556,25/09/2003,,861493,"34681,69",0,0,
42,GMF4372,PARATI 1.8 PLUS,VOLKSWAGEN,2004,Gasolina,9BWDC05X24T082726,BRANCA,100 CV,4,COMPRA,Bom,Ativa,Gasolina,820901768,PAS/AUTOMOVEL,"1,8","1,8",,,119225,22/01/2004,,23472,"33976,78",0,0,
43,GMF4373,ALLEGRO R 17.2100D,VOLKSWAGEN,2003,Diesel,9BWRF82W14R408486,BRANCA,206 CV,6,COMPRA,Bom,Ativa,Diesel,820904325,PAS/ONIBUS,,,,,278827,30/01/2004,,19817374,171000,0,0,
44,GMF4562,KOMBI - STANDARD,VOLKSWAGEN,2005,Gasolina,9BWGB07X35P007203,BRANCA,061 CV,4,COMPRA,Ótimo,Ativa,Gasolina,848744152,PAS/AUTOMOVEL,"1,6",,,,129946,03/08/2005,,205640,34000,0,0,
45,GMF4564,DOBLO ADVENTURE,FIAT,2005,Gasolina,9BD11985451024399,BRANCA,103 CV,4,COMPRA,Ótimo,Ativa,Gasolina,848761960,PAS/AUTOMOVEL,,,,,151128,03/08/2005,,475208,"47999,99",0,0,
46,GMF4738,PALIO WEEKEND ADVENTURE,FIAT,2005,Flex,9BD17309C64165670,BRANCA,110 CV,4,DOACAO  TERMO 2013000045,Bom,Ativa,Flex,873639790,PAS/AUTOMOVEL,,,,,136815,17/10/2013,,0,47332,0,0,
47,GMF4764,ONIBUS 15180 EOD NEOBUS,VOLKSWAGEN,2005,Diesel,9BWR682WX5R530359,BRANCA,180 CV,4,COMPRA,Ótimo,Ativa,Diesel,875463118,PAS/ONIBUS,,,,,42308,02/06/2006,,2291,283000,0,0,
